date,year,month,day,totalPrecipMM,totalRainMM
2010-01-01,2010,1,1,4.9,0.0
2010-01-02,2010,1,2,4.1,0.0
2010-01-03,2010,1,3,1.1,0.0
2010-01-04,2010,1,4,0.5,0.0
2010-01-05,2010,1,5,0.0,0.0
2010-01-06,2010,1,6,0.6,0.1
2010-01-07,2010,1,7,6.15,0.0
2010-01-08,2010,1,8,1.2999999999999998,0.0
2010-01-09,2010,1,9,0.0,0.0
2010-01-10,2010,1,10,0.0,0.0
2010-01-11,2010,1,11,1.4500000000000002,0.0
2010-01-12,2010,1,12,0.0,0.0
2010-01-13,2010,1,13,0.0,0.0
2010-01-14,2010,1,14,0.1,0.1
2010-01-15,2010,1,15,0.0,0.0
2010-01-16,2010,1,16,0.0,0.0
2010-01-17,2010,1,17,0.0,0.0
2010-01-18,2010,1,18,0.15,0.15
2010-01-19,2010,1,19,0.7000000000000001,0.0
2010-01-20,2010,1,20,0.0,0.0
2010-01-21,2010,1,21,0.0,0.0
2010-01-22,2010,1,22,0.0,0.0
2010-01-23,2010,1,23,0.0,0.0
2010-01-24,2010,1,24,10.899999999999999,5.85
2010-01-25,2010,1,25,2.6,0.5
2010-01-26,2010,1,26,1.35,0.0
2010-01-27,2010,1,27,0.4,0.0
2010-01-28,2010,1,28,0.65,0.0
2010-01-29,2010,1,29,1.0,0.0
2010-01-30,2010,1,30,0.0,0.0
2010-01-31,2010,1,31,0.4,0.0
2010-02-01,2010,2,1,0.0,0.0
2010-02-02,2010,2,2,2.4,0.0
2010-02-03,2010,2,3,0.6,0.0
2010-02-04,2010,2,4,0.0,0.0
2010-02-05,2010,2,5,0.0,0.0
2010-02-06,2010,2,6,0.0,0.0
2010-02-07,2010,2,7,0.0,0.0
2010-02-08,2010,2,8,0.0,0.0
2010-02-09,2010,2,9,2.95,0.0
2010-02-10,2010,2,10,2.15,0.0
2010-02-11,2010,2,11,0.0,0.0
2010-02-12,2010,2,12,0.1,0.0
2010-02-13,2010,2,13,0.65,0.0
2010-02-14,2010,2,14,0.75,0.0
2010-02-15,2010,2,15,0.0,0.0
2010-02-16,2010,2,16,0.1,0.0
2010-02-17,2010,2,17,0.6,0.0
2010-02-18,2010,2,18,0.0,0.0
2010-02-19,2010,2,19,0.0,0.0
2010-02-20,2010,2,20,0.0,0.0
2010-02-21,2010,2,21,0.0,0.0
2010-02-22,2010,2,22,11.3,0.0
2010-02-23,2010,2,23,0.9500000000000001,0.0
2010-02-24,2010,2,24,0.25,0.0
2010-02-25,2010,2,25,3.65,0.0
2010-02-26,2010,2,26,2.7,0.0
2010-02-27,2010,2,27,3.9000000000000004,0.0
2010-02-28,2010,2,28,0.0,0.0
2010-03-01,2010,3,1,0.0,0.0
2010-03-02,2010,3,2,0.0,0.0
2010-03-03,2010,3,3,0.0,0.0
2010-03-04,2010,3,4,0.0,0.0
2010-03-05,2010,3,5,0.0,0.0
2010-03-06,2010,3,6,0.0,0.0
2010-03-07,2010,3,7,0.0,0.0
2010-03-08,2010,3,8,0.0,0.0
2010-03-09,2010,3,9,0.0,0.0
2010-03-10,2010,3,10,0.0,0.0
2010-03-11,2010,3,11,0.0,0.0
2010-03-12,2010,3,12,1.9333333333333336,1.0666666666666667
2010-03-13,2010,3,13,10.366666666666667,5.333333333333333
2010-03-14,2010,3,14,1.7333333333333332,0.6333333333333333
2010-03-15,2010,3,15,0.3666666666666667,0.0
2010-03-16,2010,3,16,0.0,0.0
2010-03-17,2010,3,17,0.0,0.0
2010-03-18,2010,3,18,0.0,0.0
2010-03-19,2010,3,19,0.0,0.0
2010-03-20,2010,3,20,0.0,0.0
2010-03-21,2010,3,21,0.0,0.0
2010-03-22,2010,3,22,2.733333333333333,1.4666666666666668
2010-03-23,2010,3,23,0.0,0.0
2010-03-24,2010,3,24,0.0,0.0
2010-03-25,2010,3,25,0.0,0.0
2010-03-26,2010,3,26,0.0,0.0
2010-03-27,2010,3,27,0.0,0.0
2010-03-28,2010,3,28,5.633333333333333,3.0
2010-03-29,2010,3,29,0.0,0.0
2010-03-30,2010,3,30,0.0,0.0
2010-03-31,2010,3,31,0.3333333333333333,0.0
2010-04-01,2010,4,1,0.0,0.0
2010-04-02,2010,4,2,0.0,0.0
2010-04-03,2010,4,3,0.0,0.0
2010-04-04,2010,4,4,0.5,0.5
2010-04-05,2010,4,5,7.8,7.8
2010-04-06,2010,4,6,14.65,3.0
2010-04-07,2010,4,7,26.65,15.0
2010-04-08,2010,4,8,10.15,3.6
2010-04-09,2010,4,9,0.3,0.0
2010-04-10,2010,4,10,0.0,0.0
2010-04-11,2010,4,11,0.0,0.0
2010-04-12,2010,4,12,1.85,1.85
2010-04-13,2010,4,13,1.4,0.0
2010-04-14,2010,4,14,0.0,0.0
2010-04-15,2010,4,15,0.0,0.0
2010-04-16,2010,4,16,0.0,0.0
2010-04-17,2010,4,17,1.05,0.0
2010-04-18,2010,4,18,0.0,0.0
2010-04-19,2010,4,19,0.0,0.0
2010-04-20,2010,4,20,0.0,0.0
2010-04-21,2010,4,21,0.0,0.0
2010-04-22,2010,4,22,0.0,0.0
2010-04-23,2010,4,23,0.0,0.0
2010-04-24,2010,4,24,0.0,0.0
2010-04-25,2010,4,25,5.7,0.0
2010-04-26,2010,4,26,0.0,0.0
2010-04-27,2010,4,27,0.0,0.0
2010-04-28,2010,4,28,0.0,0.0
2010-04-29,2010,4,29,0.0,0.0
2010-04-30,2010,4,30,0.0,0.0
2010-05-01,2010,5,1,2.2,0.0
2010-05-02,2010,5,2,0.0,0.0
2010-05-03,2010,5,3,3.9,0.0
2010-05-04,2010,5,4,1.1,0.0
2010-05-05,2010,5,5,5.9,0.0
2010-05-06,2010,5,6,0.0,0.0
2010-05-07,2010,5,7,15.2,0.0
2010-05-08,2010,5,8,3.7,0.0
2010-05-09,2010,5,9,0.0,0.0
2010-05-10,2010,5,10,0.0,0.0
2010-05-11,2010,5,11,13.8,0.0
2010-05-12,2010,5,12,0.0,0.0
2010-05-13,2010,5,13,28.3,0.0
2010-05-14,2010,5,14,0.0,0.0
2010-05-15,2010,5,15,0.0,0.0
2010-05-16,2010,5,16,0.0,0.0
2010-05-17,2010,5,17,0.0,0.0
2010-05-18,2010,5,18,0.0,0.0
2010-05-19,2010,5,19,0.0,0.0
2010-05-20,2010,5,20,0.0,0.0
2010-05-21,2010,5,21,0.0,0.0
2010-05-22,2010,5,22,9.9,0.0
