,date,maxTemp,minTemp,meanTemp,heatDegDays,coolDegDays,totalRainMM,totalSnowCM,totalPrecipMM,snowOnGroundCM,dirOfMaxGust10sDEG,spdOfMaxGustKMH,season
0,2010-01-01,0.0,-9.2,-4.6,22.6,0.0,0.0,15.0,4.9,0.0,,,winter
1,2010-01-02,-9.2,-14.1,-11.7,29.7,0.0,0.0,6.0,4.1,15.0,,,winter
2,2010-01-03,-5.6,-12.6,-9.1,27.1,0.0,0.0,1.0,1.1,20.0,,,winter
3,2010-01-04,-7.5,-11.2,-9.4,27.4,0.0,0.0,1.0,0.5,14.0,,,winter
4,2010-01-05,-3.5,-8.9,-6.2,24.2,0.0,0.0,,0.0,15.0,,,winter
5,2010-01-06,-3.0,-4.8,-3.9,21.9,0.0,0.2,0.0,0.6,13.0,,,winter
6,2010-01-07,-3.2,-5.1,-4.2,22.2,0.0,0.0,8.0,6.15,12.0,,,winter
7,2010-01-08,-4.9,-9.2,-7.1,25.1,0.0,0.0,0.5,1.2999999999999998,17.0,,,winter
8,2010-01-09,-8.9,-21.4,-15.2,33.2,0.0,0.0,0.0,0.0,17.0,,,winter
9,2010-01-10,-5.0,-21.4,-13.2,31.2,0.0,0.0,0.0,0.0,16.0,,,winter
10,2010-01-11,-6.5,-9.6,-8.1,26.1,0.0,0.0,2.0,1.4500000000000002,16.0,,,winter
11,2010-01-12,-5.0,-10.0,-7.5,25.5,0.0,0.0,0.0,0.0,18.0,,,winter
12,2010-01-13,-2.1,-7.7,-4.9,22.9,0.0,0.0,0.0,0.0,17.0,,,winter
13,2010-01-14,2.7,-5.9,-1.6,19.6,0.0,0.2,0.0,0.1,17.0,,,winter
14,2010-01-15,1.9,-0.3,0.8,17.2,0.0,,0.0,0.0,14.0,,,winter
15,2010-01-16,-0.2,-2.1,-1.2,19.2,0.0,0.0,0.0,0.0,12.0,,,winter
16,2010-01-17,0.5,-2.6,-1.1,19.1,0.0,0.0,0.0,0.0,12.0,,,winter
17,2010-01-18,-1.4,-4.1,-2.8,20.8,0.0,0.3,,0.15,12.0,,,winter
18,2010-01-19,-0.1,-3.3,-1.7,19.7,0.0,0.0,0.5,0.7000000000000001,12.0,,,winter
19,2010-01-20,-3.2,-12.2,-7.7,25.7,0.0,0.0,0.0,0.0,12.0,,,winter
20,2010-01-21,0.5,-9.2,-4.4,22.4,0.0,0.0,0.0,0.0,12.0,,,winter
21,2010-01-22,2.2,-3.7,-0.8,18.8,0.0,0.0,0.0,0.0,11.0,,,winter
22,2010-01-23,1.8,-4.0,-1.1,19.1,0.0,0.0,0.0,0.0,10.0,,,winter
23,2010-01-24,5.4,1.1,3.3,14.7,0.0,11.7,0.0,10.9,10.0,,,winter
24,2010-01-25,5.2,-1.0,2.1,15.9,0.0,1.0,0.5,2.6,,,,winter
25,2010-01-26,-0.8,-3.9,-2.4,20.4,0.0,0.0,2.5,1.35,,,,winter
26,2010-01-27,-3.8,-8.0,-5.9,23.9,0.0,0.0,1.0,0.4,3.0,,,winter
27,2010-01-28,-4.4,-13.0,-8.7,26.7,0.0,0.0,,1.3,4.0,,,winter
28,2010-01-29,-9.9,-15.7,-12.8,30.8,0.0,0.0,1.0,1.0,4.0,,,winter
29,2010-01-30,-9.5,-19.0,-14.3,32.3,0.0,0.0,,0.0,5.0,,,winter
30,2010-01-31,-5.6,-13.7,-9.7,27.7,0.0,0.0,1.0,0.4,5.0,,,winter
31,2010-02-01,-4.9,-10.0,-7.5,25.5,0.0,0.0,0.0,0.0,6.0,,,winter
32,2010-02-02,-3.1,-11.4,-7.3,25.3,0.0,0.0,3.0,2.4,6.0,,,winter
33,2010-02-03,-1.1,-5.2,-3.2,21.2,0.0,0.0,,1.2,8.0,,,winter
34,2010-02-04,-1.2,-12.0,-6.6,24.6,0.0,0.0,0.0,0.0,8.0,,,winter
35,2010-02-05,-0.3,-8.7,-4.5,22.5,0.0,0.0,0.0,0.0,8.0,,,winter
36,2010-02-06,-5.4,-14.4,-9.9,27.9,0.0,0.0,0.0,0.0,7.0,,,winter
37,2010-02-07,-4.5,-16.1,-10.3,28.3,0.0,0.0,0.0,0.0,7.0,,,winter
38,2010-02-08,-1.9,-11.8,-6.9,24.9,0.0,,,0.0,,,,winter
39,2010-02-09,-3.1,-7.5,-5.3,23.3,0.0,0.0,3.5,2.95,,,,winter
40,2010-02-10,-3.2,-5.7,-4.5,22.5,0.0,0.0,2.5,2.15,8.0,,,winter
41,2010-02-11,-3.3,-9.0,-6.2,24.2,0.0,,,0.0,,,,winter
42,2010-02-12,-3.3,-9.7,-6.5,24.5,0.0,0.0,0.5,0.1,8.0,,,winter
43,2010-02-13,-2.8,-6.0,-4.4,22.4,0.0,0.0,0.5,0.65,8.0,,,winter
44,2010-02-14,-1.9,-4.6,-3.3,21.3,0.0,0.0,1.0,0.75,8.0,,,winter
45,2010-02-15,-2.0,-6.9,-4.5,22.5,0.0,0.0,,0.0,10.0,,,winter
46,2010-02-16,-2.3,-6.1,-4.2,22.2,0.0,0.0,0.5,0.1,10.0,,,winter
47,2010-02-17,-0.4,-5.4,-2.9,20.9,0.0,0.0,,0.6,10.0,,,winter
48,2010-02-18,0.0,-2.1,-1.1,19.1,0.0,0.0,0.0,0.0,10.0,,,winter
49,2010-02-19,0.8,-4.9,-2.1,20.1,0.0,0.0,0.0,0.0,9.0,,,winter
50,2010-02-20,1.3,-8.5,-3.6,21.6,0.0,0.0,0.0,0.0,9.0,,,winter
51,2010-02-21,3.2,-9.6,-3.2,21.2,0.0,0.0,,0.0,7.0,,,winter
52,2010-02-22,-0.7,-3.0,-1.9,19.9,0.0,0.0,14.0,11.3,6.0,,,winter
53,2010-02-23,-0.3,-7.0,-3.7,21.7,0.0,0.0,1.0,0.95,14.0,,,winter
54,2010-02-24,2.1,-6.5,-2.2,20.2,0.0,0.0,0.5,0.25,13.0,,,winter
55,2010-02-25,-4.1,-7.1,-5.6,23.6,0.0,0.0,5.0,3.65,12.0,,,winter
56,2010-02-26,-1.6,-6.8,-4.2,22.2,0.0,0.0,2.0,2.7,13.0,,,winter
57,2010-02-27,0.0,-6.2,-3.1,21.1,0.0,0.0,7.0,3.9,13.0,,,winter
58,2010-02-28,2.9,-4.3,-0.7,18.7,0.0,0.0,0.0,0.0,16.0,,,winter
59,2010-03-01,0.2,-4.4,-2.1,20.1,0.0,0.0,0.0,0.0,15.0,,,spring
60,2010-03-02,2.6,-8.2,-2.8,20.8,0.0,0.0,0.0,0.0,12.0,,,spring
61,2010-03-03,3.3,-5.8,-1.3,19.3,0.0,0.0,0.0,0.0,12.0,,,spring
62,2010-03-04,1.9,-6.6,-2.4,20.4,0.0,0.0,0.0,0.0,11.0,,,spring
63,2010-03-05,1.6,-7.2,-2.8,20.8,0.0,0.0,0.0,0.0,10.0,,,spring
64,2010-03-06,3.8,-8.5,-2.4,20.4,0.0,0.0,0.0,0.0,7.0,,,spring
65,2010-03-07,6.1,-3.3,1.4,16.6,0.0,0.0,0.0,0.0,6.0,,,spring
66,2010-03-08,9.7,-3.6,3.1,14.9,0.0,0.0,0.0,0.0,2.0,,,spring
67,2010-03-09,12.4,-3.6,4.4,13.6,0.0,0.0,0.0,0.0,0.0,,,spring
68,2010-03-10,12.3,0.6,6.5,11.5,0.0,0.0,0.0,0.0,0.0,,,spring
69,2010-03-11,15.4,2.4,8.9,9.1,0.0,0.0,0.0,0.0,0.0,,,spring
70,2010-03-12,11.3,3.6,7.5,10.5,0.0,3.2,0.0,2.9000000000000004,0.0,,,spring
71,2010-03-13,6.3,1.3,3.8,14.2,0.0,16.0,0.0,15.55,0.0,,,spring
72,2010-03-14,4.6,1.4,3.0,15.0,0.0,1.9,0.0,2.6,0.0,,,spring
73,2010-03-15,12.4,1.8,7.1,10.9,0.0,0.0,0.0,0.55,0.0,,,spring
74,2010-03-16,15.7,-0.6,7.6,10.4,0.0,0.0,0.0,0.0,0.0,,,spring
75,2010-03-17,16.5,-1.0,7.8,10.2,0.0,0.0,0.0,0.0,0.0,,,spring
76,2010-03-18,18.2,1.1,9.7,8.3,0.0,0.0,0.0,0.0,0.0,,,spring
77,2010-03-19,17.8,2.0,9.9,8.1,0.0,0.0,0.0,0.0,0.0,,,spring
78,2010-03-20,14.85,5.5,10.2,7.8,0.0,,0.0,0.0,0.0,,31.0,spring
79,2010-03-21,17.4,5.7,11.55,6.9,0.45,0.0,0.0,0.0,0.0,2.0,50.0,spring
80,2010-03-22,16.1,6.05,11.1,7.45,0.55,4.4,0.0,4.1,0.0,,31.0,spring
81,2010-03-23,8.0,5.55,3.4,14.6,0.0,0.0,0.0,0.0,0.0,8.0,61.0,spring
82,2010-03-24,12.35,1.7,7.05,10.95,0.0,0.0,0.0,0.0,0.0,8.0,35.0,spring
83,2010-03-25,12.95,-0.3999999999999999,6.3,11.7,0.0,,0.0,0.0,0.0,34.0,50.0,spring
84,2010-03-26,3.65,-5.3,-0.7999999999999999,18.8,0.0,0.0,0.0,0.0,0.0,35.0,46.0,spring
85,2010-03-27,8.350000000000001,-6.85,0.8,17.2,0.0,0.0,0.0,0.0,0.0,17.0,39.0,spring
86,2010-03-28,13.6,1.85,7.75,10.25,0.0,9.0,0.0,8.45,0.0,30.0,59.0,spring
87,2010-03-29,6.5,-0.45,3.0500000000000003,14.95,0.0,0.0,0.0,0.0,0.0,31.0,35.0,spring
88,2010-03-30,9.55,-3.1,3.25,14.75,0.0,0.0,0.0,0.0,0.0,9.0,56.0,spring
89,2010-03-31,10.85,-1.2,4.85,13.15,0.0,0.0,0.0,0.5,0.0,,31.0,spring
90,2010-04-01,22.4,7.4,14.9,3.1,0.0,0.0,0.0,0.0,0.0,,,spring
91,2010-04-02,24.6,9.0,16.8,1.2,0.0,0.0,0.0,0.0,0.0,,,spring
92,2010-04-03,24.6,8.5,16.6,1.4,0.0,,0.0,0.0,0.0,,,spring
93,2010-04-04,16.5,5.5,11.0,7.0,0.0,1.0,0.0,0.5,0.0,,,spring
94,2010-04-05,22.7,10.2,16.5,1.5,0.0,15.6,0.0,7.8,0.0,,,spring
95,2010-04-06,15.2,8.5,11.9,6.1,0.0,6.0,0.0,14.65,0.0,,,spring
96,2010-04-07,18.0,11.8,14.9,3.1,0.0,30.0,0.0,26.65,0.0,,,spring
97,2010-04-08,13.8,2.0,7.9,10.1,0.0,7.2,0.0,10.15,0.0,,,spring
98,2010-04-09,2.8,0.0,1.4,16.6,0.0,0.0,1.0,0.3,0.0,,,spring
99,2010-04-10,14.1,-1.3,6.4,11.6,0.0,0.0,0.0,0.0,0.0,,,spring
100,2010-04-11,17.1,3.3,10.2,7.8,0.0,0.0,0.0,0.0,0.0,,,spring
101,2010-04-12,14.5,1.4,8.0,10.0,0.0,3.7,0.0,1.85,0.0,,,spring
102,2010-04-13,14.9,3.2,9.1,8.9,0.0,0.0,0.0,1.4,0.0,,,spring
103,2010-04-14,15.8,2.4,9.1,8.9,0.0,0.0,0.0,0.0,0.0,,,spring
104,2010-04-15,25.2,5.0,15.1,2.9,0.0,,,0.0,,,,spring
105,2010-04-16,19.4,3.7,11.6,6.4,0.0,,,0.0,,,,spring
106,2010-04-17,6.1,0.8,3.5,14.5,0.0,,,2.1,,,,spring
107,2010-04-18,10.9,2.2,6.6,11.4,0.0,,,0.0,,,,spring
108,2010-04-19,15.6,1.0,8.3,9.7,0.0,,,0.0,,,,spring
109,2010-04-20,17.3,1.3,9.3,8.7,0.0,,,0.0,,,,spring
110,2010-04-21,19.0,1.4,10.2,7.8,0.0,,,0.0,,,,spring
111,2010-04-22,12.8,0.1,6.5,11.5,0.0,,,0.0,,,,spring
112,2010-04-23,15.8,-1.9,7.0,11.0,0.0,,,0.0,,,,spring
113,2010-04-24,18.5,4.6,11.6,6.4,0.0,,,0.0,,,,spring
114,2010-04-25,10.8,8.2,9.5,8.5,0.0,,,11.4,,,,spring
115,2010-04-26,18.4,4.5,11.5,6.5,0.0,,,0.0,,,,spring
116,2010-04-27,9.8,1.0,5.4,12.6,0.0,,,0.0,,,,spring
117,2010-04-28,12.7,1.5,7.1,10.9,0.0,,,0.0,,,,spring
118,2010-04-29,17.6,-1.5,8.1,9.9,0.0,,,0.0,,,,spring
119,2010-04-30,25.1,10.1,17.6,0.4,0.0,,,0.0,,,,spring
120,2010-05-01,22.7,15.8,19.3,0.0,1.3,,,2.2,,,,spring
121,2010-05-02,22.9,16.1,19.5,0.0,1.5,,,0.0,,,,spring
122,2010-05-03,22.2,13.0,17.6,0.4,0.0,,,3.9,,,,spring
123,2010-05-04,21.2,12.3,16.8,1.2,0.0,,,1.1,,,,spring
124,2010-05-05,24.3,11.7,18.0,0.0,0.0,,,5.9,,,,spring
125,2010-05-06,15.1,5.6,10.4,7.6,0.0,,,0.0,,,,spring
