date,season,totalRainMM,totalPrecipMM
2010-01-01,winter,0.0,4.9
2010-01-02,winter,0.0,4.1
2010-01-03,winter,0.0,1.1
2010-01-04,winter,0.0,0.5
2010-01-05,winter,0.0,0.0
2010-01-06,winter,0.2,0.6
2010-01-07,winter,0.0,6.15
2010-01-08,winter,0.0,1.2999999999999998
2010-01-09,winter,0.0,0.0
2010-01-10,winter,0.0,0.0
2010-01-11,winter,0.0,1.4500000000000002
2010-01-12,winter,0.0,0.0
2010-01-13,winter,0.0,0.0
2010-01-14,winter,0.2,0.1
2010-01-15,winter,,0.0
2010-01-16,winter,0.0,0.0
2010-01-17,winter,0.0,0.0
2010-01-18,winter,0.3,0.15
2010-01-19,winter,0.0,0.7000000000000001
2010-01-20,winter,0.0,0.0
2010-01-21,winter,0.0,0.0
2010-01-22,winter,0.0,0.0
2010-01-23,winter,0.0,0.0
2010-01-24,winter,11.7,10.9
2010-01-25,winter,1.0,2.6
2010-01-26,winter,0.0,1.35
2010-01-27,winter,0.0,0.4
2010-01-28,winter,0.0,1.3
2010-01-29,winter,0.0,1.0
2010-01-30,winter,0.0,0.0
2010-01-31,winter,0.0,0.4
2010-02-01,winter,0.0,0.0
2010-02-02,winter,0.0,2.4
2010-02-03,winter,0.0,1.2
2010-02-04,winter,0.0,0.0
2010-02-05,winter,0.0,0.0
2010-02-06,winter,0.0,0.0
2010-02-07,winter,0.0,0.0
2010-02-08,winter,,0.0
2010-02-09,winter,0.0,2.95
2010-02-10,winter,0.0,2.15
2010-02-11,winter,,0.0
2010-02-12,winter,0.0,0.1
2010-02-13,winter,0.0,0.65
2010-02-14,winter,0.0,0.75
2010-02-15,winter,0.0,0.0
2010-02-16,winter,0.0,0.1
2010-02-17,winter,0.0,0.6
2010-02-18,winter,0.0,0.0
2010-02-19,winter,0.0,0.0
2010-02-20,winter,0.0,0.0
2010-02-21,winter,0.0,0.0
2010-02-22,winter,0.0,11.3
2010-02-23,winter,0.0,0.95
2010-02-24,winter,0.0,0.25
2010-02-25,winter,0.0,3.65
2010-02-26,winter,0.0,2.7
2010-02-27,winter,0.0,3.9
2010-02-28,winter,0.0,0.0
2010-03-01,spring,0.0,0.0
2010-03-02,spring,0.0,0.0
2010-03-03,spring,0.0,0.0
2010-03-04,spring,0.0,0.0
2010-03-05,spring,0.0,0.0
2010-03-06,spring,0.0,0.0
2010-03-07,spring,0.0,0.0
2010-03-08,spring,0.0,0.0
2010-03-09,spring,0.0,0.0
2010-03-10,spring,0.0,0.0
2010-03-11,spring,0.0,0.0
2010-03-12,spring,3.2,2.9000000000000004
2010-03-13,spring,16.0,15.55
2010-03-14,spring,1.9,2.6
2010-03-15,spring,0.0,0.55
2010-03-16,spring,0.0,0.0
2010-03-17,spring,0.0,0.0
2010-03-18,spring,0.0,0.0
2010-03-19,spring,0.0,0.0
2010-03-20,spring,,0.0
2010-03-21,spring,0.0,0.0
2010-03-22,spring,4.4,4.1
2010-03-23,spring,0.0,0.0
2010-03-24,spring,0.0,0.0
2010-03-25,spring,,0.0
2010-03-26,spring,0.0,0.0
2010-03-27,spring,0.0,0.0
2010-03-28,spring,9.0,8.45
2010-03-29,spring,0.0,0.0
2010-03-30,spring,0.0,0.0
