date,weeklyRainDays,month,year,season
2010-01-03,3,1,2010,winter
2010-01-10,4,1,2010,winter
2010-01-17,1,1,2010,winter
2010-01-24,2,1,2010,winter
2010-01-31,6,1,2010,winter
2010-02-07,2,2,2010,winter
2010-02-14,4,2,2010,winter
2010-02-21,1,2,2010,winter
2010-02-28,6,2,2010,winter
2010-03-07,0,3,2010,spring
2010-03-14,3,3,2010,spring
2010-03-21,1,3,2010,spring
2010-03-28,2,3,2010,spring
2010-04-04,2,4,2010,spring
2010-04-11,5,4,2010,spring
2010-04-18,3,4,2010,spring
2010-04-25,1,4,2010,spring
2010-05-02,1,5,2010,spring
2010-05-09,5,5,2010,spring
2010-05-16,2,5,2010,spring
2010-05-23,1,5,2010,spring
2010-05-30,1,5,2010,spring
2010-06-06,7,6,2010,summer
2010-06-13,1,6,2010,summer
2010-06-20,1,6,2010,summer
2010-06-27,3,6,2010,summer
2010-07-04,0,7,2010,summer
2010-07-11,2,7,2010,summer
2010-07-18,3,7,2010,summer
2010-07-25,4,7,2010,summer
2010-08-01,2,8,2010,summer
2010-08-08,1,8,2010,summer
2010-08-15,1,8,2010,summer
2010-08-22,2,8,2010,summer
2010-08-29,0,8,2010,summer
2010-09-05,4,9,2010,fall
2010-09-12,3,9,2010,fall
2010-09-19,1,9,2010,fall
2010-09-26,3,9,2010,fall
2010-10-03,5,10,2010,fall
2010-10-10,4,10,2010,fall
2010-10-17,3,10,2010,fall
2010-10-24,5,10,2010,fall
2010-10-31,3,10,2010,fall
2010-11-07,3,11,2010,fall
2010-11-14,2,11,2010,fall
2010-11-21,3,11,2010,fall
2010-11-28,5,11,2010,fall
2010-12-05,7,12,2010,winter
2010-12-12,7,12,2010,winter
2010-12-19,3,12,2010,winter
2010-12-26,2,12,2010,winter
2011-01-02,3,1,2011,winter
2011-01-09,6,1,2011,winter
2011-01-16,6,1,2011,winter
2011-01-23,5,1,2011,winter
2011-01-30,6,1,2011,winter
2011-02-06,6,2,2011,winter
2011-02-13,7,2,2011,winter
2011-02-20,3,2,2011,winter
2011-02-27,6,2,2011,winter
2011-03-06,6,3,2011,spring
2011-03-13,5,3,2011,spring
2011-03-20,3,3,2011,spring
2011-03-27,4,3,2011,spring
2011-04-03,1,4,2011,spring
2011-04-10,2,4,2011,spring
2011-04-17,3,4,2011,spring
2011-04-24,6,4,2011,spring
2011-05-01,6,5,2011,spring
2011-05-08,4,5,2011,spring
2011-05-15,2,5,2011,spring
2011-05-22,5,5,2011,spring
2011-05-29,5,5,2011,spring
2011-06-05,1,6,2011,summer
2011-06-12,1,6,2011,summer
2011-06-19,1,6,2011,summer
2011-06-26,5,6,2011,summer
2011-07-03,1,7,2011,summer
2011-07-10,0,7,2011,summer
2011-07-17,0,7,2011,summer
2011-07-24,1,7,2011,summer
2011-07-31,4,7,2011,summer
2011-08-07,3,8,2011,summer
2011-08-14,3,8,2011,summer
2011-08-21,3,8,2011,summer
2011-08-28,2,8,2011,summer
2011-09-04,3,9,2011,fall
2011-09-11,3,9,2011,fall
2011-09-18,3,9,2011,fall
2011-09-25,3,9,2011,fall
2011-10-02,5,10,2011,fall
2011-10-09,1,10,2011,fall
2011-10-16,5,10,2011,fall
2011-10-23,3,10,2011,fall
2011-10-30,2,10,2011,fall
2011-11-06,1,11,2011,fall
2011-11-13,2,11,2011,fall
2011-11-20,2,11,2011,fall
2011-11-27,4,11,2011,fall
2011-12-04,6,12,2011,winter
2011-12-11,4,12,2011,winter
2011-12-18,5,12,2011,winter
2011-12-25,4,12,2011,winter
2012-01-01,6,1,2012,winter
2012-01-08,2,1,2012,winter
2012-01-15,4,1,2012,winter
2012-01-22,5,1,2012,winter
2012-01-29,7,1,2012,winter
2012-02-05,1,2,2012,winter
2012-02-12,4,2,2012,winter
2012-02-19,6,2,2012,winter
2012-02-26,5,2,2012,winter
2012-03-04,5,3,2012,spring
2012-03-11,2,3,2012,spring
2012-03-18,3,3,2012,spring
2012-03-25,2,3,2012,spring
2012-04-01,2,4,2012,spring
2012-04-08,1,4,2012,spring
2012-04-15,4,4,2012,spring
2012-04-22,4,4,2012,spring
2012-04-29,2,4,2012,spring
2012-05-06,4,5,2012,spring
2012-05-13,5,5,2012,spring
2012-05-20,1,5,2012,spring
2012-05-27,1,5,2012,spring
2012-06-03,5,6,2012,summer
2012-06-10,2,6,2012,summer
2012-06-17,3,6,2012,summer
2012-06-24,2,6,2012,summer
2012-07-01,0,7,2012,summer
2012-07-08,2,7,2012,summer
2012-07-15,1,7,2012,summer
2012-07-22,2,7,2012,summer
2012-07-29,3,7,2012,summer
2012-08-05,2,8,2012,summer
2012-08-12,4,8,2012,summer
2012-08-19,3,8,2012,summer
2012-08-26,0,8,2012,summer
2012-09-02,1,9,2012,fall
2012-09-09,4,9,2012,fall
2012-09-16,1,9,2012,fall
2012-09-23,5,9,2012,fall
2012-09-30,2,9,2012,fall
2012-10-07,3,10,2012,fall
2012-10-14,5,10,2012,fall
2012-10-21,6,10,2012,fall
2012-10-28,6,10,2012,fall
2012-11-04,6,11,2012,fall
2012-11-11,0,11,2012,fall
2012-11-18,1,11,2012,fall
