date,weeklyRainDayCount,month,year
2010-01-03,0,1,2010
2010-01-10,1,1,2010
2010-01-17,1,1,2010
2010-01-24,2,1,2010
2010-01-31,1,1,2010
2010-02-07,0,2,2010
2010-02-14,0,2,2010
2010-02-21,0,2,2010
2010-02-28,0,2,2010
2010-03-07,0,3,2010
2010-03-14,3,3,2010
2010-03-21,0,3,2010
2010-03-28,2,3,2010
2010-04-04,1,4,2010
2010-04-11,4,4,2010
2010-04-18,2,4,2010
2010-04-25,1,4,2010
2010-05-02,1,5,2010
2010-05-09,5,5,2010
2010-05-16,2,5,2010
2010-05-23,1,5,2010
2010-05-30,1,5,2010
2010-06-06,7,6,2010
2010-06-13,1,6,2010
2010-06-20,1,6,2010
2010-06-27,3,6,2010
2010-07-04,0,7,2010
2010-07-11,2,7,2010
2010-07-18,3,7,2010
2010-07-25,4,7,2010
2010-08-01,2,8,2010
2010-08-08,1,8,2010
2010-08-15,1,8,2010
2010-08-22,2,8,2010
2010-08-29,0,8,2010
2010-09-05,4,9,2010
2010-09-12,3,9,2010
2010-09-19,1,9,2010
2010-09-26,3,9,2010
2010-10-03,5,10,2010
2010-10-10,4,10,2010
2010-10-17,3,10,2010
2010-10-24,5,10,2010
2010-10-31,3,10,2010
2010-11-07,3,11,2010
2010-11-14,1,11,2010
2010-11-21,3,11,2010
2010-11-28,3,11,2010
2010-12-05,2,12,2010
2010-12-12,0,12,2010
2010-12-19,0,12,2010
2010-12-26,1,12,2010
2011-01-02,3,1,2011
2011-01-09,0,1,2011
2011-01-16,0,1,2011
2011-01-23,1,1,2011
2011-01-30,1,1,2011
2011-02-06,0,2,2011
2011-02-13,0,2,2011
2011-02-20,1,2,2011
2011-02-27,1,2,2011
2011-03-06,3,3,2011
2011-03-13,3,3,2011
2011-03-20,3,3,2011
2011-03-27,1,3,2011
2011-04-03,1,4,2011
2011-04-10,2,4,2011
2011-04-17,3,4,2011
2011-04-24,6,4,2011
2011-05-01,6,5,2011
2011-05-08,4,5,2011
2011-05-15,2,5,2011
2011-05-22,5,5,2011
2011-05-29,5,5,2011
2011-06-05,1,6,2011
2011-06-12,1,6,2011
2011-06-19,1,6,2011
2011-06-26,5,6,2011
2011-07-03,1,7,2011
2011-07-10,0,7,2011
2011-07-17,0,7,2011
2011-07-24,1,7,2011
2011-07-31,4,7,2011
2011-08-07,3,8,2011
2011-08-14,3,8,2011
2011-08-21,3,8,2011
2011-08-28,2,8,2011
2011-09-04,3,9,2011
2011-09-11,3,9,2011
2011-09-18,3,9,2011
2011-09-25,3,9,2011
2011-10-02,5,10,2011
2011-10-09,1,10,2011
2011-10-16,5,10,2011
2011-10-23,3,10,2011
2011-10-30,2,10,2011
2011-11-06,1,11,2011
2011-11-13,2,11,2011
2011-11-20,1,11,2011
2011-11-27,3,11,2011
2011-12-04,3,12,2011
2011-12-11,1,12,2011
2011-12-18,2,12,2011
2011-12-25,4,12,2011
2012-01-01,4,1,2012
2012-01-08,0,1,2012
2012-01-15,2,1,2012
2012-01-22,2,1,2012
2012-01-29,3,1,2012
2012-02-05,0,2,2012
2012-02-12,0,2,2012
2012-02-19,2,2,2012
2012-02-26,2,2,2012
2012-03-04,2,3,2012
2012-03-11,1,3,2012
2012-03-18,2,3,2012
2012-03-25,2,3,2012
2012-04-01,2,4,2012
2012-04-08,1,4,2012
2012-04-15,3,4,2012
2012-04-22,4,4,2012
2012-04-29,2,4,2012
2012-05-06,4,5,2012
2012-05-13,5,5,2012
2012-05-20,1,5,2012
2012-05-27,1,5,2012
2012-06-03,5,6,2012
2012-06-10,2,6,2012
2012-06-17,3,6,2012
2012-06-24,2,6,2012
2012-07-01,0,7,2012
2012-07-08,2,7,2012
2012-07-15,1,7,2012
2012-07-22,2,7,2012
2012-07-29,3,7,2012
2012-08-05,2,8,2012
2012-08-12,4,8,2012
2012-08-19,3,8,2012
2012-08-26,0,8,2012
2012-09-02,1,9,2012
2012-09-09,4,9,2012
2012-09-16,1,9,2012
2012-09-23,5,9,2012
2012-09-30,2,9,2012
2012-10-07,3,10,2012
2012-10-14,5,10,2012
2012-10-21,6,10,2012
2012-10-28,6,10,2012
2012-11-04,6,11,2012
2012-11-11,0,11,2012
2012-11-18,1,11,2012
2012-11-25,1,11,2012
2012-12-02,2,12,2012
2012-12-09,4,12,2012
2012-12-16,3,12,2012
2012-12-23,3,12,2012
2012-12-30,0,12,2012
2013-01-06,0,1,2013
2013-01-13,4,1,2013
2013-01-20,0,1,2013
2013-01-27,0,1,2013
2013-02-03,3,2,2013
2013-02-10,1,2,2013
2013-02-17,2,2,2013
2013-02-24,3,2,2013
2013-03-03,1,3,2013
2013-03-10,1,3,2013
2013-03-17,1,3,2013
2013-03-24,1,3,2013
2013-03-31,1,3,2013
2013-04-07,0,4,2013
2013-04-14,6,4,2013
2013-04-21,5,4,2013
2013-04-28,3,4,2013
2013-05-05,0,5,2013
2013-05-12,4,5,2013
2013-05-19,3,5,2013
2013-05-26,2,5,2013
2013-06-02,7,6,2013
2013-06-09,1,6,2013
2013-06-16,5,6,2013
2013-06-23,2,6,2013
2013-06-30,2,6,2013
2013-07-07,5,7,2013
2013-07-14,4,7,2013
2013-07-21,2,7,2013
2013-07-28,3,7,2013
2013-08-04,4,8,2013
2013-08-11,1,8,2013
2013-08-18,0,8,2013
2013-08-25,1,8,2013
2013-09-01,3,9,2013
2013-09-08,2,9,2013
2013-09-15,3,9,2013
2013-09-22,2,9,2013
2013-09-29,1,9,2013
